,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_alpha,param_loss,param_criterion,param_max_depth,param_splitter,param_n_estimators,param_algorithm,param_kernel,param_var_smoothing,param_activation,param_hidden_layer_sizes
0,2.927330493927002,0.5815497475427575,0.008062362670898438,0.0023078070577699523,1.0,l2,42,saga,"{'C': 1.0, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga'}",0.8489443378119002,0.8477927063339731,0.8571976967370442,0.8525628719523901,0.8498752159723555,0.8512745657615326,0.0033542421080616606,8,,,,,,,,,,,
1,0.22342047691345215,0.028922250583709456,0.006272459030151367,0.0007501615236456714,1.0,l2,42,liblinear,"{'C': 1.0, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear'}",0.8491362763915548,0.8477927063339731,0.8570057581573897,0.8527548473795354,0.8500671913995008,0.8513513559323908,0.0032607267793656625,1,,,,,,,,,,,
2,2.51440372467041,0.0535429923677956,0.005701541900634766,0.0004409959053146758,1.0,l2,1453,saga,"{'C': 1.0, 'penalty': 'l2', 'random_state': 1453, 'solver': 'saga'}",0.8491362763915548,0.8477927063339731,0.8571976967370442,0.8525628719523901,0.8498752159723555,0.8513129534774635,0.0033283524947429984,5,,,,,,,,,,,
3,0.21999125480651854,0.010969844770788674,0.00602869987487793,0.0006589753478008066,1.0,l2,1453,liblinear,"{'C': 1.0, 'penalty': 'l2', 'random_state': 1453, 'solver': 'liblinear'}",0.8491362763915548,0.8477927063339731,0.8570057581573897,0.8527548473795354,0.8500671913995008,0.8513513559323908,0.0032607267793656625,1,,,,,,,,,,,
4,2.9364624977111817,0.15577685648219503,0.0055027008056640625,0.0004350267479751499,1.0,l1,42,saga,"{'C': 1.0, 'penalty': 'l1', 'random_state': 42, 'solver': 'saga'}",0.8487523992322457,0.8479846449136277,0.8571976967370442,0.8525628719523901,0.8498752159723555,0.8512745657615326,0.003343240835293534,8,,,,,,,,,,,
5,2.2344006061553956,0.12480535891736837,0.0055561065673828125,0.0004125815703974411,1.0,l1,42,liblinear,"{'C': 1.0, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear'}",0.8485604606525912,0.8479846449136277,0.8573896353166987,0.8523708965252448,0.8494912651180649,0.8511593805052454,0.0034612074628517816,19,,,,,,,,,,,
6,2.6291415214538576,0.02145578921449171,0.0053116798400878905,0.0003537679717915964,1.0,l1,1453,saga,"{'C': 1.0, 'penalty': 'l1', 'random_state': 1453, 'solver': 'saga'}",0.8487523992322457,0.8479846449136277,0.8571976967370442,0.8525628719523901,0.8498752159723555,0.8512745657615326,0.003343240835293534,8,,,,,,,,,,,
7,2.6168237686157227,0.06427988607389729,0.005573701858520508,0.0004160165342671628,1.0,l1,1453,liblinear,"{'C': 1.0, 'penalty': 'l1', 'random_state': 1453, 'solver': 'liblinear'}",0.8485604606525912,0.8479846449136277,0.8573896353166987,0.8523708965252448,0.8494912651180649,0.8511593805052454,0.0034612074628517816,19,,,,,,,,,,,
8,2.152951145172119,0.016296651991862136,0.005493545532226562,0.0004497008388688476,0.8,l2,42,saga,"{'C': 0.8, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga'}",0.8489443378119002,0.8476007677543186,0.8570057581573897,0.8525628719523901,0.8500671913995008,0.8512361854150999,0.003313108534591636,13,,,,,,,,,,,
9,0.17115120887756347,0.013110286877738568,0.005560445785522461,0.00030690157451616554,0.8,l2,42,liblinear,"{'C': 0.8, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear'}",0.8489443378119002,0.8477927063339731,0.8568138195777352,0.8525628719523901,0.8500671913995008,0.8512361854150999,0.0032045829883895986,13,,,,,,,,,,,
10,2.1457115650177,0.012399553324736913,0.005285501480102539,0.00038513322852052207,0.8,l2,1453,saga,"{'C': 0.8, 'penalty': 'l2', 'random_state': 1453, 'solver': 'saga'}",0.8489443378119002,0.8476007677543186,0.8570057581573897,0.8525628719523901,0.8500671913995008,0.8512361854150999,0.003313108534591636,13,,,,,,,,,,,
11,0.1770472049713135,0.015132340613376254,0.00550684928894043,0.0004066181608958257,0.8,l2,1453,liblinear,"{'C': 0.8, 'penalty': 'l2', 'random_state': 1453, 'solver': 'liblinear'}",0.8489443378119002,0.8477927063339731,0.8568138195777352,0.8525628719523901,0.8500671913995008,0.8512361854150999,0.0032045829883895986,13,,,,,,,,,,,
12,2.6050342559814452,0.016557032253271438,0.00522909164428711,0.00012914107785221056,0.8,l1,42,saga,"{'C': 0.8, 'penalty': 'l1', 'random_state': 42, 'solver': 'saga'}",0.8489443378119002,0.8477927063339731,0.8573896353166987,0.8519869456709541,0.8502591668266462,0.8512745583920346,0.003361127881146342,11,,,,,,,,,,,
13,1.9925196647644043,0.22473788625013041,0.005500078201293945,0.00046286273716331506,0.8,l1,42,liblinear,"{'C': 0.8, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear'}",0.8485604606525912,0.8479846449136277,0.8575815738963531,0.8519869456709541,0.8498752159723555,0.8511977682211764,0.003475758133050903,17,,,,,,,,,,,
14,2.6180006980896,0.017728217478007964,0.0052926063537597655,0.00037646697998291166,0.8,l1,1453,saga,"{'C': 0.8, 'penalty': 'l1', 'random_state': 1453, 'solver': 'saga'}",0.8489443378119002,0.8477927063339731,0.8573896353166987,0.8519869456709541,0.8502591668266462,0.8512745583920346,0.003361127881146342,11,,,,,,,,,,,
